Title,Director,Budget (INR Crores),Duration (mins),Genre
Clash of the Titans,Desmond Davis,124.5,118,Action
Excalibur,John Boorman,91.3,140,Adventure
Mad Max 2,George Miller,24.9,96,Action
Stripes,Ivan Reitman,83.0,106,Comedy
The Cannonball Run,Hal Needham,149.4,95,Action
Thief,Michael Mann,45.65,123,Action
Time Bandits,Terry Gilliam,41.5,110,Adventure
Friday the 13th Part 2,Steve Miner,10.38,87,Horror
For Your Eyes Only,John Glen,232.4,127,Action
Halloween II,Rick Rosenthal,20.75,92,Horror
Taps,Harold Becker,116.2,126,Drama
Reds,Warren Beatty,265.6,195,Biography
The Fox and the Hound,Directors,99.6,83,Animation
Chariots of Fire,Hugh Hudson,45.65,125,Biography
Absence of Malice,Sydney Pollack,99.6,116,Drama
Tarzan the Ape Man,John Derek,53.95,115,Adventure
Victory,John Huston,83.0,116,Drama
Arthur,Steve Gordon,58.1,97,Comedy
Dead & Buried,Gary Sherman,24.9,94,Horror
History of the World: Part I,Mel Brooks,91.3,92,Comedy
The Howling,Joe Dante,8.3,91,Horror
Dragonslayer,Matthew Robbins,149.4,109,Action
Cutter's Way,Ivan Passer,24.9,109,Crime
Quest for Fire,Jean-Jacques Annaud,103.75,100,Adventure
The Final Conflict,Graham Baker,41.5,108,Horror
Mommie Dearest,Frank Perry,41.5,129,Biography
Private Lessons,Alan Myerson,23.24,87,Comedy
The Postman Always Rings Twice,Bob Rafelson,99.6,122,Crime
Deadly Blessing,Wes Craven,20.75,100,Horror
Eyewitness,Peter Yates,70.55,103,Crime
Outland,Peter Hyams,132.8,109,Action
S.O.B.,Blake Edwards,99.6,122,Comedy
The Beyond,Lucio Fulci,3.32,87,Horror
One from the Heart,Francis Ford Coppola,215.8,107,Drama
True Confessions,Ulu Grosbard,83.0,108,Crime
Looker,Michael Crichton,66.4,93,Drama
Nighthawks,Bruce Malmuth,41.5,99,Action
Neighbors,John G. Avildsen,70.55,94,Comedy
Wolfen,Michael Wadleigh,141.1,115,Horror
Prince of the City,Sidney Lumet,71.38,167,Crime
Eyes of a Stranger,Ken Wiederhorn,6.64,84,Horror
Under the Rainbow,Steve Rash,166.0,98,Comedy
Carbon Copy,Michael Schultz,49.8,92,Comedy
Graduation Day,Herb Freed,2.08,96,Horror
Modern Problems,Ken Shapiro,66.4,93,Comedy
Pennies from Heaven,Herbert Ross,182.6,108,Drama
American Pop,Ralph Bakshi,12.45,96,Animation
The Legend of the Lone Ranger,William A. Fraker,149.4,98,Action
Sphinx,Franklin J. Schaffner,116.2,118,Adventure
An Eye for an Eye,Steve Carver,31.54,106,Action
Zoot Suit,Luis Valdez,22.41,103,Drama
Buddy Buddy,Billy Wilder,83.0,96,Comedy
Bustin' Loose,Oz Scott,91.3,94,Comedy
Heartbeeps,Allan Arkush,99.6,78,Comedy
Take This Job and Shove It,Gus Trikonis,29.05,100,Comedy
Whose Life Is It Anyway?,John Badham,107.9,119,Comedy
Inchon,Terence Young,381.8,140,Drama
All Night Long,Jean-Claude Tramont,116.2,87,Comedy
The Pursuit of D.B. Cooper,Roger Spottiswoode,99.6,100,Adventure
Rollover,Alan J. Pakula,132.8,116,Drama
Honky Tonk Freeway,John Schlesinger,199.2,107,Action
King of the Mountain,Noel Nosseck,16.6,90,Action
Fast Times at Ridgemont High,Amy Heckerling,37.35,90,Comedy
Blade Runner,Ridley Scott,232.4,117,Action
The Thing,John Carpenter,124.5,109,Horror
Conan the Barbarian,John Milius,166.0,129,Action
E.T. the Extra-Terrestrial,Steven Spielberg,87.15,115,Family
First Blood,Ted Kotcheff,124.5,93,Action
An Officer and a Gentleman,Taylor Hackford,62.25,124,Drama
Grease 2,Patricia Birch,109.56,115,Comedy
Annie,John Huston,415.0,127,Comedy
Poltergeist,Tobe Hooper,88.81,114,Horror
48 Hrs.,Walter Hill,99.6,96,Action
Star Trek II: The Wrath of Khan,Nicholas Meyer,92.96,113,Action
Sophie's Choice,Alan J. Pakula,99.6,150,Drama
Gandhi,Richard Attenborough,182.6,191,Biography
Tootsie,Sydney Pollack,174.3,116,Comedy
Tron,Steven Lisberger,141.1,96,Action
The Secret of NIMH,Don Bluth,58.1,82,Animation
The King of Comedy,Martin Scorsese,166.0,109,Comedy
Rocky III,Sylvester Stallone,141.1,99,Drama
The Beastmaster,Don Coscarelli,66.4,118,Action
Creepshow,George A. Romero,66.4,120,Comedy
The Man from Snowy River,George Miller,29.05,102,Adventure
Pink Floyd: The Wall,Alan Parker,99.6,95,Drama
Cat People,Paul Schrader,149.4,118,Fantasy
Fanny and Alexander,Ingmar Bergman,49.8,188,Drama
Friday the 13th Part III,Steve Miner,19.09,95,Horror
Firefox,Clint Eastwood,149.4,136,Action
Halloween III: Season of the Witch,Tommy Lee Wallace,20.75,98,Horror
The Dark Crystal,Jim Henson,124.5,93,Adventure
The Verdict,Sidney Lumet,132.8,129,Drama
Pieces,Juan Piquer SimÃ³n,2.49,85,Horror
The World According to Garp,George Roy Hill,141.1,136,Comedy
Diner,Barry Levinson,41.5,110,Comedy
The Best Little Whorehouse in Texas,Colin Higgins,290.5,114,Comedy
The Year of Living Dangerously,Peter Weir,107.9,115,Drama
The Last Unicorn,Jules Bass,29.05,92,Animation
The Entity,Sidney J. Furie,74.7,125,Drama
Airplane II: the Sequel,Ken Finkleman,124.5,85,Comedy
The Toy,Richard Donner,141.1,102,Comedy
The House on Sorority Row,Mark Rosman,3.53,91,Horror
Evil Under the Sun,Guy Hamilton,83.0,117,Crime
Death Wish II,Michael Winner,16.6,89,Action
Silent Rage,Michael Miller,37.35,103,Action
Megaforce,Hal Needham,166.0,99,Action
Personal Best,Robert Towne,132.8,128,Drama
Dead Men Don't Wear Plaid,Carl Reiner,74.7,88,Comedy
Amityville II: The Possession,Damiano Damiani,41.5,104,Horror
Missing,Costa-Gavras,78.85,122,Biography
Cannery Row,David S. Ward,93.79,120,Comedy
Time Walker,Tom Kennedy,6.22,83,Horror
Tempest,Paul Mazursky,107.9,140,Comedy
Still of the Night,Robert Benton,83.0,93,Crime
Parasite,Charles Band,6.64,85,Horror
Honkytonk Man,Clint Eastwood,16.6,122,Comedy
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",Robert Altman,7.05,109,Comedy
The Final Option,Ian Sharp,49.8,125,Action
Trail of the Pink Panther,Blake Edwards,49.8,96,Comedy
The Border,Tony Richardson,182.6,108,Crime
Best Friends,Norman Jewison,124.5,116,Comedy
Shoot the Moon,Alan Parker,99.6,124,Drama
Lookin' to Get Out,Hal Ashby,141.1,105,Comedy
Barbarosa,Fred Schepisi,91.3,90,Western
The Soldier,James Glickenhaus,33.2,96,Action
Wrong Is Right,Richard Brooks,83.0,117,Comedy
Jekyll and Hyde... Together Again,Jerry Belson,41.5,87,Sci-Fi
Forced Vengeance,James Fargo,41.5,90,Action
Night Crossing,Delbert Mann,83.0,107,Drama
Things Are Tough All Over,Thomas K. Avildsen,58.1,90,Action
Jinxed!,Don Siegel,111.22,103,Comedy
Five Days One Summer,Fred Zinnemann,124.5,108,Drama
Partners,James Burrows,49.8,93,Comedy
"Yes, Giorgio",Franklin J. Schaffner,157.7,110,Comedy
Boardinghouse,John Wintergate,0.08,98,Comedy
The Personals,Peter Markle,3.61,90,Comedy
Scarface,Brian De Palma,207.5,170,Crime
The Outsiders,Francis Ford Coppola,83.0,91,Crime
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,269.75,131,Action
Risky Business,Paul Brickman,51.46,99,Comedy
National Lampoon's Vacation,Harold Ramis,124.5,98,Adventure
Trading Places,John Landis,124.5,116,Comedy
Superman III,Richard Lester,323.7,125,Action
The Big Chill,Lawrence Kasdan,66.4,105,Comedy
Staying Alive,Sylvester Stallone,182.6,93,Drama
Jaws 3-D,Joe Alves,170.15,99,Adventure
Christine,John Carpenter,80.51,110,Horror
Sleepaway Camp,Robert Hiltzik,2.9,84,Horror
Flashdance,Adrian Lyne,33.2,95,Drama
WarGames,John Badham,99.6,114,Action
The Right Stuff,Philip Kaufman,224.1,193,Adventure
Krull,Peter Yates,390.1,121,Action
The Dead Zone,David Cronenberg,83.0,103,Drama
Octopussy,John Glen,228.25,131,Action
Private School,Noel Black,29.05,89,Comedy
Valley Girl,Martha Coolidge,2.9,99,Comedy
Rumble Fish,Francis Ford Coppola,83.0,94,Crime
Videodrome,David Cronenberg,49.4,87,Horror
Terms of Endearment,James L. Brooks,66.4,132,Comedy
Twilight Zone: The Movie,Directors,83.0,101,Horror
Never Say Never Again,Irvin Kershner,298.8,134,Action
A Christmas Story,Bob Clark,27.39,93,Comedy
Cujo,Lewis Teague,41.5,93,Horror
Sudden Impact,Clint Eastwood,182.6,117,Action
Blue Thunder,John Badham,182.6,109,Action
Breathless,Jim McBride,62.25,100,Action
Psycho II,Richard Franklin,41.5,113,Crime
Silkwood,Mike Nichols,83.0,131,Biography
All the Right Moves,Michael Chapman,46.48,91,Drama
The Keep,Michael Mann,91.3,96,Drama
Yentl,Barbra Streisand,99.6,133,Drama
Fire and Ice,Ralph Bakshi,9.96,81,Animation
Yellowbeard,Mel Damski,53.95,96,Action
The Meaning of Life,Terry Jones,74.7,107,Comedy
Deathstalker,James Sbardellati,3.79,80,Action
Porky's II: The Next Day,Bob Clark,53.95,98,Comedy
Something Wicked This Way Comes,Jack Clayton,157.7,95,Fantasy
Star 80,Bob Fosse,99.6,103,Biography
Gorky Park,Michael Apted,124.5,128,Crime
Lone Wolf McQuade,Steve Carver,41.5,107,Action
Losin' It,Curtis Hanson,58.1,100,Comedy
Screwballs,Rafal Zielinski,6.64,80,Comedy
Brainstorm,Douglas Trumbull,124.5,106,Sci-Fi
Angel,Robert Vincent O'Neil,24.9,94,Action
10 to Midnight,J. Lee Thompson,37.52,101,Crime
Uncommon Valor,Ted Kotcheff,120.35,105,Action
Mortuary,Howard Avedis,2.08,93,Horror
Sahara,Andrew V. McLaglen,207.5,111,Adventure
Two of a Kind,John Herzfeld,116.2,88,Comedy
Chained Heat,Paul Nicholas,10.38,95,Action
Spacehunter: Adventures in the Forbidden Zone,Lamont Johnson,119.52,90,Action
High Road to China,Brian G. Hutton,157.7,105,Adventure
Rock & Rule,Clive Smith,66.4,77,Animation
Hercules,Luigi Cozzi,20.75,98,Adventure
Under Fire,Roger Spottiswoode,78.85,128,Drama
Amityville 3-D,Richard Fleischer,49.8,105,Horror
The Osterman Weekend,Sam Peckinpah,53.95,103,Action
Revenge of the Ninja,Sam Firstenberg,5.81,90,Action
To Be or Not to Be,Alan Johnson,74.7,107,Comedy
The Wicked Lady,Michael Winner,66.4,98,Adventure
Of Unknown Origin,George P. Cosmatos,33.2,88,Horror
Curse of the Pink Panther,Blake Edwards,91.3,109,Comedy
D.C. Cab,Joel Schumacher,66.4,100,Action
Beyond the Limit,John Mackenzie,97.94,104,Drama
The Survivors,Michael Ritchie,99.6,103,Comedy
The Lonely Lady,Peter Sasdy,41.5,92,Drama
The Man Who Loved Women,Blake Edwards,157.7,110,Comedy
Nightmares,Joseph Sargent,49.8,99,Horror
Deal of the Century,William Friedkin,83.0,99,Comedy
Eddie Macon's Run,Jeff Kanew,41.5,95,Action
Baby It's You,John Sayles,24.9,105,Comedy
Love Letters,Amy Holden Jones,4.57,88,Drama
Get Crazy,Allan Arkush,45.65,92,Comedy
Nate and Hayes,Ferdinand Fairfax,99.6,99,Action
Getting It on,William Olsen,1.83,96,Comedy
Lianna,John Sayles,2.49,110,Drama
Lovesick,Marshall Brickman,83.83,95,Comedy
Running Brave,Donald Shebib,66.4,106,Biography
Trenchcoat,Michael Tuchner,41.5,91,Comedy
White Star,Roland Klick,0.83,92,Drama
Deadly Force,Paul Aaron,24.9,95,Action
My Brother's Wedding,Charles Burnett,0.41,115,Drama
Cross Country,Paul Lynch,20.75,95,Thriller
A Polish Vampire in Burbank,Mark Pirro,0.02,80,Comedy
The Business of Show Business,Tom Logan,2.69,55,History
The Terminator,James Cameron,53.12,107,Action
Dune,David Lynch,332.0,137,Action
Ghostbusters,Ivan Reitman,249.0,105,Action
The Karate Kid,John G. Avildsen,66.4,126,Action
Once Upon a Time in America,Sergio Leone,249.0,229,Crime
Police Academy,Hugh Wilson,37.35,96,Comedy
Indiana Jones and the Temple of Doom,Steven Spielberg,232.4,118,Action
Body Double,Brian De Palma,83.0,114,Crime
A Nightmare on Elm Street,Wes Craven,14.94,91,Horror
Amadeus,Milos Forman,149.4,160,Biography
Beverly Hills Cop,Martin Brest,116.2,105,Action
Red Dawn,John Milius,141.1,114,Action
The NeverEnding Story,Wolfgang Petersen,224.1,102,Adventure
Footloose,Herbert Ross,68.06,107,Drama
Revenge of the Nerds,Jeff Kanew,66.4,90,Comedy
Gremlins,Joe Dante,91.3,106,Comedy
Romancing the Stone,Robert Zemeckis,83.0,106,Action
Streets of Fire,Walter Hill,120.35,93,Action
Sixteen Candles,John Hughes,53.95,93,Comedy
This Is Spinal Tap,Rob Reiner,20.75,82,Comedy
Top Secret!,Jim Abrahams,74.7,90,Comedy
Conan the Destroyer,Richard Fleischer,149.4,103,Action
Children of the Corn,Fritz Kiersch,6.64,92,Horror
The Last Starfighter,Nick Castle,124.5,101,Action
Splash,Ron Howard,66.4,111,Comedy
Blood Simple,Joel Coen,12.45,99,Crime
The Natural,Barry Levinson,232.4,138,Drama
Bachelor Party,Neal Israel,41.5,105,Comedy
NausicaÃ¤ of the Valley of the Wind,Hayao Miyazaki,8.3,117,Animation
Friday the 13th: the Final Chapter,Joseph Zito,21.58,91,Horror
Against All Odds,Taylor Hackford,107.9,128,Action
Supergirl,Jeannot Szwarc,290.5,124,Action
The Bounty,Roger Donaldson,207.5,132,Adventure
Firestarter,Mark L. Lester,124.5,114,Action
C.H.U.D.,Douglas Cheek,10.38,88,Horror
The Woman in Red,Gene Wilder,74.7,87,Comedy
Star Trek III: The Search for Spock,Leonard Nimoy,141.1,105,Action
Repo Man,Alex Cox,12.45,92,Action
2010: the Year We Make Contact,Peter Hyams,232.4,116,Adventure
The Killing Fields,Roland JoffÃ©,119.52,141,Biography
The Cotton Club,Francis Ford Coppola,481.4,127,Crime
Starman,John Carpenter,182.6,115,Romance
Night of the Comet,Thom Eberhardt,5.81,95,Comedy
The Philadelphia Experiment,Stewart Raffill,174.3,102,Adventure
Bolero,John Derek,58.1,105,Comedy
Cannonball Run II,Hal Needham,166.0,108,Action
Stranger Than Paradise,Jim Jarmusch,0.75,89,Comedy
The Ice Pirates,Stewart Raffill,74.7,91,Action
A Passage to India,David Lean,132.8,164,Adventure
Purple Rain,Albert Magnoli,59.76,111,Drama
The Hotel New Hampshire,Tony Richardson,62.25,109,Comedy
Sheena,John Guillermin,207.5,117,Adventure
Missing in Action,Joseph Zito,21.16,101,Action
"Greystoke: The Legend of Tarzan, Lord of the Apes",Hugh Hudson,249.0,143,Adventure
Falling in Love,Ulu Grosbard,99.6,106,Drama
Birdy,Alan Parker,99.6,120,Drama
The Company of Wolves,Neil Jordan,16.6,95,Drama
Ghoulies,Luca Bercovici,45.65,81,Comedy
Racing with the Moon,Richard Benjamin,53.95,108,Comedy
"Silent Night, Deadly Night",Charles E. Sellier Jr.,8.84,79,Horror
The Pope of Greenwich Village,Stuart Rosenberg,66.4,121,Action
Rhinestone,Bob Clark,232.4,111,Comedy
Swing Shift,Jonathan Demme,124.5,100,Drama
Beat Street,Stan Lathan,78.85,105,Drama
The Razor's Edge,John Byrum,107.9,128,Drama
Moscow on the Hudson,Paul Mazursky,107.9,115,Comedy
The Evil That Men Do,J. Lee Thompson,38.18,90,Action
Firstborn,Michael Apted,66.4,103,Drama
Teachers,Arthur Hiller,74.7,107,Comedy
The River,Mark Rydell,149.4,124,Drama
A Soldier's Story,Norman Jewison,49.8,101,Crime
Irreconcilable Differences,Charles Shyer,49.8,113,Comedy
City Heat,Richard Benjamin,207.5,93,Action
Flashpoint,William Tannen,83.0,93,Action
Lust in the Dust,Paul Bartel,24.9,84,Comedy
Thief of Hearts,Douglas Day Stewart,74.7,100,Crime
The Brother from Another Planet,John Sayles,2.9,108,Comedy
Broadway Danny Rose,Woody Allen,66.4,84,Comedy
Best Defense,Willard Huyck,149.4,94,Comedy
Micki + Maude,Blake Edwards,125.33,118,Comedy
Protocol,Herbert Ross,99.6,96,Comedy
Choose Me,Alan Rudolph,5.81,106,Comedy
Unfaithfully Yours,Howard Zieff,99.6,96,Comedy
Impulse,Graham Baker,83.0,91,Horror
Mrs. Soffel,Gillian Armstrong,91.3,110,Drama
Give My Regards to Broad Street,Peter Webb,74.7,108,Drama
Finders Keepers,Richard Lester,58.1,96,Comedy
Crackers,Louis Malle,99.6,91,Adventure
Mike's Murder,James Bridges,52.29,109,Drama
The Bear,Richard C. Sarafian,1.83,110,Biography
Almost You,Adam Brooks,8.3,96,Comedy
Weird Science,John Hughes,62.25,94,Comedy
The Goonies,Richard Donner,157.7,114,Adventure
Back to the Future,Robert Zemeckis,157.7,116,Adventure
To Live and Die in L.A.,William Friedkin,49.8,116,Action
Clue,Jonathan Lynn,124.5,94,Comedy
The Breakfast Club,John Hughes,8.3,97,Comedy
Cocoon,Ron Howard,145.25,117,Comedy
Rambo: First Blood Part II,George P. Cosmatos,365.2,96,Action
Mask,Peter Bogdanovich,66.4,120,Biography
Legend,Ridley Scott,203.35,94,Adventure
The Return of the Living Dead,Dan O'Bannon,33.2,91,Comedy
St. Elmo's Fire,Joel Schumacher,83.0,110,Drama
Brazil,Terry Gilliam,124.5,132,Drama
Pale Rider,Clint Eastwood,57.27,115,Drama
Real Genius,Martha Coolidge,66.4,108,Comedy
Commando,Mark L. Lester,83.0,90,Action
Witness,Peter Weir,99.6,112,Crime
The Color Purple,Steven Spielberg,124.5,154,Drama
Silverado,Lawrence Kasdan,215.8,133,Action
Rocky IV,Sylvester Stallone,249.0,91,Drama
Ran,Akira Kurosawa,95.45,162,Action
Ladyhawke,Richard Donner,166.0,121,Adventure
A Room with a View,James Ivory,24.9,117,Drama
Red Sonja,Richard Fleischer,148.57,89,Action
Fright Night,Tom Holland,74.7,106,Fantasy
Explorers,Joe Dante,207.5,109,Adventure
Flesh+Blood,Paul Verhoeven,53.95,126,Adventure
Mad Max Beyond Thunderdome,George Miller,83.0,107,Action
After Hours,Martin Scorsese,37.35,97,Comedy
A View to a Kill,John Glen,249.0,131,Action
Fletch,Michael Ritchie,66.4,98,Comedy
Perfect,James Bridges,157.7,115,Drama
A Nightmare on Elm Street 2: Freddy's Revenge,Jack Sholder,24.9,87,Horror
Lifeforce,Tobe Hooper,207.5,101,Action
Pee-wee's Big Adventure,Tim Burton,49.8,91,Adventure
Out of Africa,Sydney Pollack,257.3,161,Biography
Day of the Dead,George A. Romero,29.05,101,Horror
National Lampoon's European Vacation,Amy Heckerling,141.1,95,Adventure
Spies Like Us,John Landis,182.6,102,Adventure
House,Steve Miner,24.9,93,Comedy
Police Academy 2: Their First Assignment,Jerry Paris,63.08,87,Comedy
The Black Cauldron,Ted Berman,365.2,80,Animation
Friday the 13th: A New Beginning,Danny Steinmann,18.26,92,Horror
Runaway Train,Andrey Konchalovskiy,74.7,111,Action
Re-Animator,Stuart Gordon,7.47,104,Comedy
Brewster's Millions,Walter Hill,166.0,102,Comedy
The Last Dragon,Michael Schultz,83.0,109,Action
Desperately Seeking Susan,Susan Seidelman,37.35,104,Comedy
Jagged Edge,Richard Marquand,124.5,108,Drama
Enemy Mine,Wolfgang Petersen,332.0,108,Action
The Jewel of the Nile,Lewis Teague,207.5,106,Action
Once Bitten,Howard Storm,26.56,94,Comedy
Into the Night,John Landis,66.4,115,Action
The Sure Thing,Rob Reiner,37.35,95,Comedy
White Nights,Taylor Hackford,166.0,136,Drama
Silver Bullet,Daniel Attias,58.1,95,Horror
Young Sherlock Holmes,Barry Levinson,149.4,109,Adventure
Smooth Talk,Joyce Chopra,19.92,92,Drama
Porky's Revenge,James Komack,74.7,92,Comedy
Year of the Dragon,Michael Cimino,199.2,134,Action
The Quiet Earth,Geoff Murphy,8.3,91,Drama
Creature,William Malone,6.22,97,Horror
Mishima: A Life in Four Chapters,Paul Schrader,41.5,120,Biography
A Chorus Line,Richard Attenborough,224.1,113,Drama
Cat's Eye,Lewis Teague,58.1,94,Comedy
Murphy's Romance,Martin Ritt,107.9,107,Comedy
Fandango,Kevin Reynolds,58.1,91,Comedy
Death Wish 3,Michael Winner,74.7,92,Action
King Solomon's Mines,J. Lee Thompson,103.75,100,Action
American Warrior,Sam Firstenberg,8.3,95,Action
The Falcon and the Snowman,John Schlesinger,99.6,131,Biography
Transylvania 6-5000,Rudy De Luca,24.9,93,Comedy
Desert Hearts,Donna Deitch,10.38,91,Drama
The Purple Rose of Cairo,Woody Allen,124.5,82,Comedy
The Man with One Red Shoe,Stan Dragoti,132.8,92,Comedy
Invasion U.S.A.,Joseph Zito,83.0,107,Action
Revolution,Hugh Hudson,232.4,126,Adventure
Code of Silence,Andrew Davis,58.1,101,Action
Crimewave,Sam Raimi,24.9,83,Comedy
Santa Claus: The Movie,Jeannot Szwarc,415.0,107,Adventure
Agnes of God,Norman Jewison,83.0,98,Drama
Stick,Burt Reynolds,182.6,109,Action
The Bride,Franc Roddam,107.9,118,Fantasy
Godzilla 1985,Directors,16.6,87,Action
Plenty,Fred Schepisi,83.0,121,Drama
King David,Bruce Beresford,182.6,114,Adventure
Missing in Action 2: The Beginning,Lance Hool,20.0,100,Action
The Protector,James Glickenhaus,41.5,91,Action
The Mean Season,Phillip Borsos,58.1,103,Crime
Krush Groove,Michael Schultz,24.9,97,Comedy
He-Man and She-Ra: The Secret of the Sword,Directors,16.6,100,Animation
Starchaser: The Legend of Orin,Steven Hahn,124.5,100,Animation
The Care Bears Movie,Arna Selznick,16.6,77,Animation
Twice in a Lifetime,Bud Yorkin,66.4,111,Drama
O.C. and Stiggs,Robert Altman,58.1,109,Comedy
Fever Pitch,Richard Brooks,58.1,96,Drama
Alamo Bay,Louis Malle,41.5,98,Action
Rappin',Joel Silberg,16.6,92,Drama
Top Gun,Tony Scott,124.5,110,Action
Aliens,James Cameron,153.55,137,Action
Stand by Me,Rob Reiner,66.4,89,Adventure
Ferris Bueller's Day Off,John Hughes,49.8,103,Comedy
Crocodile Dundee,Peter Faiman,73.04,97,Action
Labyrinth,Jim Henson,207.5,101,Adventure
Highlander,Russell Mulcahy,132.8,116,Action
Big Trouble in Little China,John Carpenter,207.5,99,Action
Pretty in Pink,Howard Deutch,74.7,97,Comedy
Platoon,Oliver Stone,49.8,120,Drama
Blue Velvet,David Lynch,49.8,120,Drama
Manhunter,Michael Mann,124.5,120,Crime
Howard the Duck,Willard Huyck,307.1,110,Action
The Fly,David Cronenberg,124.5,96,Drama
Little Shop of Horrors,Frank Oz,207.5,94,Comedy
The Mosquito Coast,Peter Weir,207.5,117,Adventure
River's Edge,Tim Hunter,15.77,99,Crime
9Â½ Weeks,Adrian Lyne,141.1,117,Drama
The Golden Child,Michael Ritchie,207.5,94,Action
Star Trek IV: The Voyage Home,Leonard Nimoy,207.5,119,Action
Short Circuit,John Badham,124.5,98,Comedy
The Delta Force,Menahem Golan,99.6,125,Action
The Wraith,Mike Marvin,22.41,93,Action
The Color of Money,Martin Scorsese,114.54,119,Drama
Hoosiers,David Anspaugh,49.8,114,Drama
Heartbreak Ridge,Clint Eastwood,124.5,130,Drama
Flight of the Navigator,Randal Kleiser,74.7,90,Adventure
Cobra,George P. Cosmatos,207.5,87,Action
Peggy Sue Got Married,Francis Ford Coppola,149.4,103,Comedy
The Mission,Roland JoffÃ©,203.35,125,Adventure
Three Amigos!,John Landis,207.5,104,Comedy
Maximum Overdrive,Stephen King,83.0,98,Action
Lucas,David Seltzer,49.8,100,Comedy
Friday the 13th Part VI: Jason Lives,Tom McLoughlin,24.9,86,Horror
The Money Pit,Richard Benjamin,83.0,91,Comedy
Back to School,Alan Metter,91.3,96,Comedy
About Last Night,Edward Zwick,70.55,113,Comedy
Critters,Stephen Herek,16.6,86,Comedy
The Texas Chainsaw Massacre 2,Tobe Hooper,39.01,101,Comedy
From Beyond,Stuart Gordon,37.35,85,Horror
Sid and Nancy,Alex Cox,33.2,112,Biography
Henry: Portrait of a Serial Killer,John McNaughton,0.92,83,Biography
Night of the Creeps,Fred Dekker,41.5,88,Comedy
The Hitcher,Robert Harmon,49.8,97,Action
SpaceCamp,Harry Winer,149.4,107,Adventure
Raw Deal,John Irvin,70.55,106,Action
Hannah and Her Sisters,Woody Allen,53.12,107,Comedy
The Great Mouse Detective,Directors,116.2,74,Animation
Ruthless People,Jim Abrahams,107.9,93,Comedy
The Transformers: the Movie,Nelson Shin,49.8,84,Animation
Troll,John Carl Buechler,9.13,82,Comedy
At Close Range,James Foley,53.95,111,Crime
Something Wild,Jonathan Demme,58.1,114,Comedy
Heartburn,Mike Nichols,166.0,108,Comedy
The Clan of the Cave Bear,Michael Chapman,124.5,98,Adventure
