Director,Duration (mins),Budget (INR Crores),Genre
Prashanth Neel,123,142.09,Crime
Prashanth Neel,92,200.42,Biography
Zoya Akhtar,119,215.6,Thriller
Kabir Khan,179,35.27,Fantasy
Prashanth Neel,171,97.3,Adventure
Imtiaz Ali,102,391.52,Romantic Comedy
Vishal Bhardwaj,150,490.39,Fantasy
Karan Johar,104,47.72,Action
Shoojit Sircar,149,352.85,Comedy
S.S. Rajamouli,154,197.21,Horror
Rohit Shetty,163,214.84,Sci-Fi
Lokesh Kanagaraj,118,306.18,Sci-Fi
Sandeep Reddy Vanga,153,357.97,Musical
Vishal Bhardwaj,177,279.56,Fantasy
S.S. Rajamouli,122,31.37,Fantasy
Prashanth Neel,173,96.13,Historical
Anurag Basu,128,277.79,Historical
Rohit Shetty,131,132.55,Romance
S.S. Rajamouli,93,135.09,Crime
Karan Johar,169,476.53,Thriller
Imtiaz Ali,116,218.69,Adventure
Zoya Akhtar,104,215.43,Drama
Ayan Mukerji,178,364.9,Sci-Fi
Zoya Akhtar,149,258.59,Drama
Prashanth Neel,131,255.36,Thriller
Sanjay Leela Bhansali,104,135.65,Biography
Imtiaz Ali,164,354.43,Adventure
Ayan Mukerji,156,365.99,Sci-Fi
Anurag Basu,116,409.62,Romantic Comedy
Rohit Shetty,125,432.55,Sci-Fi
Karan Johar,174,430.87,Crime
Ayan Mukerji,96,453.84,Horror
Ayan Mukerji,136,499.72,Drama
Prashanth Neel,159,417.37,Drama
Rohit Shetty,155,67.38,Action
Vishal Bhardwaj,131,466.42,Sci-Fi
Rajkumar Hirani,154,473.44,Fantasy
Anurag Kashyap,176,167.2,Comedy
Imtiaz Ali,103,258.88,Adventure
Anurag Kashyap,144,308.81,Crime
Atlee,173,75.03,Animation
Zoya Akhtar,172,179.02,Action
Shoojit Sircar,138,36.46,Drama
Prashanth Neel,157,57.28,Drama
S.S. Rajamouli,134,476.87,Fantasy
Mani Ratnam,112,133.84,Drama
Sandeep Reddy Vanga,118,470.2,Animation
S.S. Rajamouli,106,493.66,Historical
Sandeep Reddy Vanga,166,203.85,Animation
Atlee,94,304.94,Sci-Fi
Imtiaz Ali,174,202.57,Romantic Comedy
Shoojit Sircar,97,426.99,Sci-Fi
Sriram Raghavan,163,472.2,Thriller
Sriram Raghavan,172,307.29,Animation
Karan Johar,108,48.14,Sci-Fi
Vishal Bhardwaj,91,139.08,Fantasy
Prashanth Neel,107,449.88,Drama
Mani Ratnam,145,355.62,Animation
Mani Ratnam,179,460.98,Horror
Shoojit Sircar,93,166.85,Musical
Sriram Raghavan,132,344.08,Fantasy
Imtiaz Ali,167,90.18,Crime
Karan Johar,130,270.84,Sci-Fi
Zoya Akhtar,90,325.64,Adventure
Sanjay Leela Bhansali,168,331.7,Adventure
Rohit Shetty,173,161.24,Romantic Comedy
Mani Ratnam,132,99.82,Thriller
Sriram Raghavan,123,266.57,Thriller
S.S. Rajamouli,126,495.47,Action
Mani Ratnam,94,299.8,Crime
S.S. Rajamouli,177,196.88,Sci-Fi
Mani Ratnam,161,406.42,Comedy
Rajkumar Hirani,159,87.93,Romance
Sriram Raghavan,99,270.71,Thriller
Prashanth Neel,121,387.79,Crime
Sanjay Leela Bhansali,179,67.73,Fantasy
Imtiaz Ali,99,346.9,Biography
S.S. Rajamouli,180,206.42,Sci-Fi
Kabir Khan,144,46.67,Animation
Vishal Bhardwaj,161,121.98,Adventure
Sanjay Leela Bhansali,154,239.47,Romantic Comedy
Imtiaz Ali,149,412.47,Animation
Rajkumar Hirani,103,223.01,Horror
Imtiaz Ali,96,471.86,Thriller
Karan Johar,169,275.09,Horror
S.S. Rajamouli,110,78.36,Romantic Comedy
Vishal Bhardwaj,148,74.03,Historical
Anurag Kashyap,115,233.85,Adventure
Prashanth Neel,95,425.14,Drama
Kabir Khan,159,48.67,Horror
Anurag Basu,161,203.56,Thriller
Atlee,169,115.47,Romance
Prashanth Neel,135,343.66,Sci-Fi
Karan Johar,116,469.84,Biography
Rajkumar Hirani,95,193.61,Sci-Fi
Shoojit Sircar,110,259.3,Adventure
Prashanth Neel,168,171.51,Crime
Rajkumar Hirani,167,355.45,Biography
Shoojit Sircar,143,336.78,Horror
Sanjay Leela Bhansali,97,159.83,Fantasy
Sriram Raghavan,96,100.79,Drama
Rajkumar Hirani,113,481.25,Comedy
S.S. Rajamouli,111,484.47,Thriller
Atlee,105,237.62,Historical
S.S. Rajamouli,109,361.43,Musical
Anurag Kashyap,163,110.86,Animation
Anurag Kashyap,114,307.99,Musical
Prashanth Neel,109,249.64,Thriller
Atlee,123,141.27,Romantic Comedy
Sanjay Leela Bhansali,124,50.25,Animation
Prashanth Neel,159,452.24,Horror
S.S. Rajamouli,100,158.55,Romance
S.S. Rajamouli,150,36.14,Historical
Sanjay Leela Bhansali,179,123.23,Animation
Zoya Akhtar,129,203.48,Drama
Vishal Bhardwaj,137,359.99,Animation
S.S. Rajamouli,109,342.58,Biography
Prashanth Neel,159,461.05,Romance
Vishal Bhardwaj,142,128.24,Romantic Comedy
Karan Johar,138,456.86,Thriller
Sanjay Leela Bhansali,93,114.86,Comedy
Anurag Basu,120,332.82,Crime
Sanjay Leela Bhansali,111,236.36,Romantic Comedy
Zoya Akhtar,154,320.81,Horror
Zoya Akhtar,99,118.96,Romantic Comedy
Sriram Raghavan,144,378.09,Historical
Anurag Basu,171,421.74,Adventure
Shoojit Sircar,98,212.4,Musical
Rohit Shetty,177,389.89,Romantic Comedy
S.S. Rajamouli,139,84.12,Musical
Imtiaz Ali,121,404.57,Sci-Fi
Anurag Basu,174,172.51,Biography
Ayan Mukerji,148,368.8,Adventure
Karan Johar,94,326.0,Adventure
Kabir Khan,95,347.84,Musical
S.S. Rajamouli,108,403.17,Romance
Rohit Shetty,159,473.16,Crime
Rohit Shetty,141,245.96,Musical
Anurag Basu,174,488.72,Fantasy
Imtiaz Ali,114,413.82,Fantasy
Karan Johar,132,259.11,Animation
Lokesh Kanagaraj,174,106.11,Thriller
Atlee,124,264.71,Animation
Anurag Basu,120,383.68,Animation
S.S. Rajamouli,126,90.57,Action
S.S. Rajamouli,123,408.99,Drama
Atlee,97,451.71,Sci-Fi
Sandeep Reddy Vanga,169,198.71,Sci-Fi
Sandeep Reddy Vanga,162,272.65,Romantic Comedy
Karan Johar,135,417.38,Comedy
Sanjay Leela Bhansali,107,114.37,Crime
Sanjay Leela Bhansali,126,175.08,Fantasy
Imtiaz Ali,178,312.23,Adventure
Prashanth Neel,133,354.02,Thriller
Rajkumar Hirani,128,223.28,Fantasy
Sriram Raghavan,120,443.64,Fantasy
S.S. Rajamouli,101,470.74,Historical
Anurag Basu,124,55.03,Comedy
Sandeep Reddy Vanga,121,410.71,Crime
Rohit Shetty,171,70.63,Fantasy
Sriram Raghavan,114,58.3,Fantasy
Anurag Basu,148,427.46,Thriller
Zoya Akhtar,164,329.93,Sci-Fi
Sriram Raghavan,108,214.77,Romantic Comedy
Imtiaz Ali,91,95.1,Horror
Karan Johar,140,144.17,Comedy
S.S. Rajamouli,145,486.83,Musical
Vishal Bhardwaj,92,404.67,Musical
Imtiaz Ali,115,419.85,Musical
Prashanth Neel,141,303.94,Horror
Zoya Akhtar,144,468.05,Historical
Kabir Khan,100,370.05,Horror
Rajkumar Hirani,103,404.25,Sci-Fi
Rohit Shetty,123,167.28,Romantic Comedy
Sandeep Reddy Vanga,109,175.43,Romantic Comedy
Karan Johar,146,205.69,Thriller
Kabir Khan,129,320.22,Romance
Imtiaz Ali,92,285.12,Thriller
Rajkumar Hirani,113,408.21,Musical
Lokesh Kanagaraj,121,56.03,Musical
Sandeep Reddy Vanga,123,155.99,Fantasy
Prashanth Neel,155,189.25,Historical
Anurag Kashyap,130,449.09,Musical
Prashanth Neel,103,137.15,Historical
Sriram Raghavan,145,459.17,Historical
Shoojit Sircar,173,391.58,Horror
Anurag Kashyap,103,25.32,Fantasy
S.S. Rajamouli,178,218.95,Romantic Comedy
Rajkumar Hirani,177,131.47,Crime
Anurag Basu,111,369.17,Crime
Zoya Akhtar,129,338.65,Comedy
S.S. Rajamouli,107,73.87,Adventure
Anurag Kashyap,133,112.86,Musical
Sandeep Reddy Vanga,154,73.04,Romance
S.S. Rajamouli,126,147.07,Drama
Sandeep Reddy Vanga,134,429.89,Romantic Comedy
Mani Ratnam,167,111.51,Adventure
Prashanth Neel,142,356.13,Musical
Mani Ratnam,144,154.45,Historical
Sriram Raghavan,166,125.65,Adventure
Rohit Shetty,102,291.77,Horror
Zoya Akhtar,152,397.94,Adventure
Anurag Kashyap,130,451.7,Musical
Kabir Khan,140,163.72,Sci-Fi
Zoya Akhtar,93,195.16,Romantic Comedy
Kabir Khan,132,334.7,Historical
Kabir Khan,115,214.58,Horror
Sriram Raghavan,124,494.55,Adventure
Imtiaz Ali,176,438.19,Musical
Ayan Mukerji,113,66.28,Crime
Sriram Raghavan,111,282.81,Comedy
Mani Ratnam,114,243.4,Romantic Comedy
Sanjay Leela Bhansali,173,416.34,Drama
Mani Ratnam,120,483.84,Fantasy
Kabir Khan,120,289.31,Historical
Prashanth Neel,160,48.58,Sci-Fi
Prashanth Neel,110,356.75,Romance
Ayan Mukerji,171,467.36,Romantic Comedy
Sriram Raghavan,90,300.61,Adventure
Sriram Raghavan,170,308.34,Comedy
Anurag Kashyap,117,411.03,Action
Sandeep Reddy Vanga,169,73.95,Horror
Prashanth Neel,132,22.67,Comedy
Ayan Mukerji,94,72.09,Adventure
S.S. Rajamouli,124,193.94,Thriller
Sriram Raghavan,101,213.01,Sci-Fi
Sandeep Reddy Vanga,151,425.16,Fantasy
Rohit Shetty,136,310.49,Drama
Lokesh Kanagaraj,165,314.82,Romance
Ayan Mukerji,167,221.05,Sci-Fi
Vishal Bhardwaj,174,445.08,Drama
Vishal Bhardwaj,105,38.34,Comedy
Anurag Basu,90,79.9,Romantic Comedy
Imtiaz Ali,119,116.01,Fantasy
Sandeep Reddy Vanga,94,96.83,Drama
Imtiaz Ali,104,279.03,Crime
Zoya Akhtar,147,178.37,Drama
S.S. Rajamouli,166,265.89,Animation
Sanjay Leela Bhansali,90,89.97,Musical
Vishal Bhardwaj,151,285.89,Action
Rajkumar Hirani,164,126.58,Romantic Comedy
Rajkumar Hirani,159,301.53,Sci-Fi
Imtiaz Ali,161,497.56,Sci-Fi
Karan Johar,175,405.4,Romance
Sriram Raghavan,102,482.65,Romantic Comedy
Sandeep Reddy Vanga,168,50.6,Romantic Comedy
Sriram Raghavan,100,233.01,Action
Kabir Khan,160,179.22,Historical
Ayan Mukerji,152,220.07,Thriller
Zoya Akhtar,111,207.29,Thriller
Anurag Basu,178,93.21,Action
Rohit Shetty,132,101.03,Thriller
Zoya Akhtar,175,77.92,Musical
Ayan Mukerji,154,64.47,Biography
Sandeep Reddy Vanga,149,60.64,Biography
Rajkumar Hirani,119,478.38,Sci-Fi
Zoya Akhtar,151,410.73,Horror
Imtiaz Ali,94,130.35,Crime
Sandeep Reddy Vanga,155,179.32,Action
Zoya Akhtar,142,316.28,Crime
Rohit Shetty,150,173.51,Horror
Sandeep Reddy Vanga,91,66.7,Fantasy
Sriram Raghavan,144,105.9,Animation
Rajkumar Hirani,149,446.83,Romantic Comedy
Ayan Mukerji,111,344.49,Historical
Sriram Raghavan,159,135.4,Fantasy
Sanjay Leela Bhansali,173,199.29,Biography
Karan Johar,177,165.82,Historical
Anurag Kashyap,178,247.3,Comedy
Sriram Raghavan,174,306.79,Thriller
Sandeep Reddy Vanga,108,308.15,Thriller
Prashanth Neel,140,410.82,Drama
Shoojit Sircar,109,248.11,Biography
Atlee,142,310.18,Horror
S.S. Rajamouli,125,461.54,Drama
Anurag Basu,125,335.05,Biography
Anurag Kashyap,146,441.83,Comedy
Kabir Khan,115,342.81,Crime
Kabir Khan,132,189.28,Romance
S.S. Rajamouli,172,169.98,Biography
Anurag Basu,90,338.02,Animation
Anurag Kashyap,99,75.04,Biography
Sanjay Leela Bhansali,154,278.51,Horror
Rajkumar Hirani,152,402.79,Drama
Kabir Khan,103,99.17,Animation
Zoya Akhtar,176,484.79,Romantic Comedy
Ayan Mukerji,144,347.68,Horror
Shoojit Sircar,120,433.36,Thriller
Vishal Bhardwaj,129,290.44,Historical
Sandeep Reddy Vanga,138,446.93,Fantasy
S.S. Rajamouli,126,267.27,Musical
Rajkumar Hirani,106,467.68,Horror
Zoya Akhtar,168,85.83,Horror
Lokesh Kanagaraj,127,117.35,Animation
S.S. Rajamouli,169,186.65,Musical
Rohit Shetty,126,23.08,Drama
S.S. Rajamouli,91,260.36,Adventure
Zoya Akhtar,127,124.17,Horror
Anurag Basu,97,57.67,Horror
Mani Ratnam,153,480.6,Historical
Sriram Raghavan,103,31.57,Action
Lokesh Kanagaraj,121,42.99,Action
Rohit Shetty,165,211.77,Adventure
Imtiaz Ali,100,302.93,Fantasy
Mani Ratnam,106,178.38,Drama
Sandeep Reddy Vanga,98,484.39,Comedy
Sriram Raghavan,165,374.41,Historical
Rohit Shetty,135,436.87,Comedy
Anurag Kashyap,155,98.04,Sci-Fi
Ayan Mukerji,179,268.96,Thriller
Mani Ratnam,166,356.77,Animation
Sandeep Reddy Vanga,150,76.46,Biography
Kabir Khan,110,398.98,Adventure
Kabir Khan,139,486.41,Sci-Fi
Ayan Mukerji,161,151.7,Adventure
Karan Johar,169,178.67,Biography
Sanjay Leela Bhansali,115,32.15,Adventure
Atlee,134,369.26,Historical
Rohit Shetty,90,485.53,Horror
Prashanth Neel,176,440.93,Horror
Mani Ratnam,143,29.95,Action
Sriram Raghavan,94,75.01,Romantic Comedy
Karan Johar,106,201.36,Fantasy
Sriram Raghavan,106,137.86,Biography
Karan Johar,166,161.5,Musical
S.S. Rajamouli,92,457.86,Thriller
Sriram Raghavan,159,328.72,Comedy
Sandeep Reddy Vanga,119,334.07,Crime
Shoojit Sircar,139,417.5,Biography
Zoya Akhtar,132,72.15,Crime
Prashanth Neel,100,489.8,Fantasy
Prashanth Neel,102,247.74,Horror
Ayan Mukerji,149,397.89,Biography
Shoojit Sircar,93,327.6,Biography
Rajkumar Hirani,163,143.79,Drama
Sandeep Reddy Vanga,104,343.8,Animation
Ayan Mukerji,113,425.9,Historical
Ayan Mukerji,155,289.58,Adventure
Imtiaz Ali,110,271.11,Romantic Comedy
Zoya Akhtar,95,285.64,Biography
Ayan Mukerji,117,215.11,Sci-Fi
Anurag Kashyap,138,123.97,Action
Shoojit Sircar,133,340.11,Horror
Zoya Akhtar,105,215.6,Historical
Mani Ratnam,128,160.04,Biography
S.S. Rajamouli,129,189.95,Animation
Vishal Bhardwaj,97,325.5,Musical
Anurag Kashyap,90,356.11,Sci-Fi
Lokesh Kanagaraj,94,21.87,Thriller
Mani Ratnam,146,71.96,Musical
Lokesh Kanagaraj,163,393.59,Biography
Vishal Bhardwaj,179,121.23,Horror
Sandeep Reddy Vanga,164,375.83,Crime
Vishal Bhardwaj,171,134.96,Crime
Anurag Kashyap,139,347.56,Romantic Comedy
Lokesh Kanagaraj,132,67.7,Adventure
Karan Johar,142,499.13,Comedy
Sriram Raghavan,109,124.13,Musical
Sandeep Reddy Vanga,109,353.65,Adventure
Lokesh Kanagaraj,135,41.66,Romance
Anurag Kashyap,120,391.6,Comedy
Lokesh Kanagaraj,179,235.77,Horror
Sanjay Leela Bhansali,165,332.9,Animation
Zoya Akhtar,100,83.62,Comedy
Ayan Mukerji,114,298.54,Thriller
Zoya Akhtar,178,204.35,Musical
Karan Johar,98,457.04,Comedy
Imtiaz Ali,138,471.82,Comedy
Ayan Mukerji,124,153.5,Crime
Sanjay Leela Bhansali,134,447.76,Drama
Mani Ratnam,94,46.4,Thriller
Prashanth Neel,168,262.75,Thriller
Zoya Akhtar,136,285.83,Adventure
Shoojit Sircar,137,414.98,Thriller
S.S. Rajamouli,99,157.04,Comedy
Mani Ratnam,91,380.81,Biography
Imtiaz Ali,110,235.66,Adventure
Ayan Mukerji,156,339.25,Fantasy
Anurag Basu,159,330.64,Romance
Imtiaz Ali,180,304.97,Horror
Imtiaz Ali,152,350.74,Drama
Prashanth Neel,91,348.99,Animation
Rohit Shetty,150,199.35,Comedy
Shoojit Sircar,157,271.9,Comedy
Sanjay Leela Bhansali,132,175.44,Action
Mani Ratnam,166,98.8,Musical
Lokesh Kanagaraj,175,475.79,Adventure
Vishal Bhardwaj,101,332.5,Fantasy
Atlee,154,494.81,Horror
Lokesh Kanagaraj,90,485.23,Romantic Comedy
Vishal Bhardwaj,150,47.42,Sci-Fi
Sanjay Leela Bhansali,173,305.23,Romance
Imtiaz Ali,106,100.59,Comedy
Imtiaz Ali,144,234.22,Biography
Prashanth Neel,125,214.09,Biography
Sanjay Leela Bhansali,163,372.91,Animation
Sanjay Leela Bhansali,140,143.91,Historical
Rajkumar Hirani,146,463.46,Sci-Fi
Lokesh Kanagaraj,102,254.78,Biography
Rohit Shetty,110,96.87,Action
Shoojit Sircar,150,143.06,Adventure
Kabir Khan,134,55.98,Romance
Mani Ratnam,99,116.69,Romantic Comedy
Karan Johar,124,48.32,Horror
Kabir Khan,125,161.63,Historical
Rajkumar Hirani,136,227.71,Sci-Fi
Atlee,118,205.14,Fantasy
Rohit Shetty,151,265.02,Crime
Imtiaz Ali,92,91.91,Fantasy
Rajkumar Hirani,91,369.1,Fantasy
Sriram Raghavan,107,410.05,Sci-Fi
Ayan Mukerji,177,278.24,Biography
Karan Johar,129,371.91,Fantasy
Anurag Kashyap,178,438.64,Romantic Comedy
Anurag Kashyap,164,427.0,Romance
Sriram Raghavan,156,278.55,Drama
Mani Ratnam,176,387.97,Action
Prashanth Neel,151,270.32,Adventure
Prashanth Neel,171,266.96,Drama
Mani Ratnam,175,32.34,Adventure
Ayan Mukerji,128,232.48,Historical
Shoojit Sircar,103,39.42,Comedy
Atlee,119,154.8,Comedy
Lokesh Kanagaraj,125,202.89,Adventure
S.S. Rajamouli,141,369.77,Horror
Shoojit Sircar,135,186.78,Musical
Prashanth Neel,128,357.61,Biography
Karan Johar,126,269.79,Adventure
Rohit Shetty,168,155.76,Horror
Mani Ratnam,106,23.95,Comedy
Ayan Mukerji,164,284.42,Horror
Anurag Kashyap,112,46.72,Animation
Zoya Akhtar,168,391.53,Crime
Rajkumar Hirani,165,89.5,Adventure
Karan Johar,168,190.62,Romantic Comedy
Sriram Raghavan,123,286.88,Biography
Sriram Raghavan,96,329.97,Romantic Comedy
Karan Johar,112,375.93,Adventure
Anurag Basu,122,35.16,Romantic Comedy
Zoya Akhtar,122,360.41,Adventure
Mani Ratnam,178,276.0,Historical
S.S. Rajamouli,102,101.44,Fantasy
Sriram Raghavan,147,117.9,Historical
Sandeep Reddy Vanga,132,307.13,Action
Shoojit Sircar,118,329.58,Thriller
Anurag Basu,179,67.82,Musical
Lokesh Kanagaraj,90,274.86,Horror
Prashanth Neel,166,224.36,Biography
Lokesh Kanagaraj,112,348.88,Romance
Shoojit Sircar,153,441.2,Romance
Mani Ratnam,153,313.09,Romantic Comedy
Prashanth Neel,132,396.66,Adventure
Kabir Khan,100,381.06,Fantasy
Zoya Akhtar,173,89.37,Biography
Vishal Bhardwaj,105,56.62,Musical
Imtiaz Ali,126,470.99,Romance
Ayan Mukerji,169,227.57,Biography
Sriram Raghavan,98,74.15,Romance
Lokesh Kanagaraj,165,490.91,Sci-Fi
Imtiaz Ali,134,110.95,Fantasy
Zoya Akhtar,152,173.38,Sci-Fi
S.S. Rajamouli,125,394.25,Biography
Shoojit Sircar,136,412.87,Fantasy
Ayan Mukerji,178,447.57,Romance
Kabir Khan,123,75.76,Romantic Comedy
Sanjay Leela Bhansali,126,52.4,Drama
Shoojit Sircar,92,496.93,Adventure
Kabir Khan,142,162.19,Historical
Rohit Shetty,130,194.72,Historical
Imtiaz Ali,160,180.44,Thriller
Anurag Kashyap,118,264.91,Musical
Karan Johar,158,294.62,Crime
Anurag Basu,124,239.67,Comedy
Imtiaz Ali,113,249.57,Sci-Fi
Anurag Basu,120,129.37,Drama
Atlee,132,183.91,Horror
Imtiaz Ali,150,325.56,Horror
Shoojit Sircar,177,85.42,Drama
Rohit Shetty,101,445.09,Crime
Lokesh Kanagaraj,178,401.12,Comedy
Shoojit Sircar,145,453.24,Fantasy
Prashanth Neel,114,252.77,Romance
Ayan Mukerji,132,486.43,Fantasy
Prashanth Neel,154,113.82,Crime
Sanjay Leela Bhansali,100,281.16,Horror
Rohit Shetty,174,340.42,Thriller
Rohit Shetty,158,466.65,Romantic Comedy
Atlee,94,74.72,Drama
Karan Johar,91,304.75,Biography
S.S. Rajamouli,115,332.15,Musical
Imtiaz Ali,125,211.64,Adventure
Sriram Raghavan,99,317.26,Sci-Fi
S.S. Rajamouli,170,28.33,Thriller
Sriram Raghavan,159,453.93,Romantic Comedy
Shoojit Sircar,128,200.12,Animation
Sriram Raghavan,137,336.29,Sci-Fi
Lokesh Kanagaraj,158,120.13,Fantasy
Kabir Khan,122,284.34,Drama
Mani Ratnam,107,355.21,Historical
Kabir Khan,126,32.83,Historical
Karan Johar,180,404.09,Romance
Sandeep Reddy Vanga,133,406.35,Historical
Sanjay Leela Bhansali,107,33.34,Romantic Comedy
S.S. Rajamouli,138,363.8,Musical
Mani Ratnam,128,77.92,Romantic Comedy
Zoya Akhtar,104,467.66,Horror
Lokesh Kanagaraj,93,298.73,Adventure
Prashanth Neel,139,196.29,Animation
Vishal Bhardwaj,120,136.21,Comedy
S.S. Rajamouli,96,485.92,Drama
Sandeep Reddy Vanga,170,24.08,Sci-Fi
Rohit Shetty,108,300.94,Musical
Kabir Khan,134,386.11,Animation
S.S. Rajamouli,155,210.06,Romantic Comedy
Kabir Khan,109,223.71,Thriller
Lokesh Kanagaraj,169,357.24,Horror
Anurag Basu,107,427.84,Fantasy
Rohit Shetty,166,332.26,Action
Sandeep Reddy Vanga,147,281.33,Thriller
Ayan Mukerji,146,21.87,Biography
Rohit Shetty,99,419.3,Fantasy
